pna_frequency_axis,pna_power,pna_tr1_linear_magnitude,pna_tr1_magnitude,pna_tr1_phase,pna_tr1_unwrapped_phase
3654180000.0,-30.0,2.3576810359954834,7.449701309204102,-167.5331268310547,-167.5331268310547
3654220000.0,-30.0,2.3583314418792725,7.452096939086914,-168.19277954101562,-168.19277954101562
3654260000.0,-30.0,2.3507490158081055,7.424125671386719,-168.85818481445312,-168.85818481445312
3654300000.0,-30.0,2.3487579822540283,7.416765213012695,-169.379638671875,-169.379638671875
3654340000.0,-30.0,2.3440263271331787,7.399250030517578,-170.15267944335938,-170.15267944335938
3654380000.0,-30.0,2.336652994155884,7.371884346008301,-170.79396057128906,-170.79396057128906
3654420000.0,-30.0,2.323615550994873,7.3232855796813965,-171.0152130126953,-171.0152130126953
3654460000.0,-30.0,2.3260750770568848,7.332474231719971,-171.71218872070312,-171.71218872070312
3654500000.0,-30.0,2.3139264583587646,7.286990165710449,-172.3004150390625,-172.3004150390625
3654540000.0,-30.0,2.3149924278259277,7.29099178314209,-173.086669921875,-173.086669921875
3654580000.0,-30.0,2.312812566757202,7.282808780670166,-173.79122924804688,-173.79122924804688
3654620000.0,-30.0,2.311835289001465,7.279138088226318,-174.29531860351562,-174.29531860351562
3654660000.0,-30.0,2.302790880203247,7.245089530944824,-175.038818359375,-175.038818359375
3654700000.0,-30.0,2.3009238243103027,7.238044738769531,-175.51669311523438,-175.51669311523438
3654740000.0,-30.0,2.2935097217559814,7.2100114822387695,-175.99037170410156,-175.99037170410156
3654780000.0,-30.0,2.289649724960327,7.195380687713623,-176.77969360351562,-176.77969360351562
3654820000.0,-30.0,2.291292905807495,7.2016119956970215,-177.4962158203125,-177.4962158203125
3654860000.0,-30.0,2.292757749557495,7.2071638107299805,-178.11581420898438,-178.11581420898438
3654900000.0,-30.0,2.2921764850616455,7.20496129989624,-178.8897247314453,-178.8897247314453
3654940000.0,-30.0,2.2828094959259033,7.169393539428711,-179.40869140625,-179.40869140625
3654980000.0,-30.0,2.2828540802001953,7.1695637702941895,179.8513641357422,-180.14865112304688
3655020000.0,-30.0,2.2798192501068115,7.158008098602295,179.1627960205078,-180.83718872070312
3655060000.0,-30.0,2.2788054943084717,7.154144763946533,178.6331024169922,-181.36688232421875
3655100000.0,-30.0,2.2716786861419678,7.126938343048096,178.0084991455078,-181.9915008544922
3655140000.0,-30.0,2.26678729057312,7.10821533203125,177.4073944091797,-182.5926055908203
3655180000.0,-30.0,2.263521194458008,7.095691680908203,176.6357879638672,-183.3642120361328
3655220000.0,-30.0,2.2587106227874756,7.077212333679199,176.26551818847656,-183.73448181152344
3655260000.0,-30.0,2.245879650115967,7.027729511260986,175.58970642089844,-184.4102783203125
3655300000.0,-30.0,2.241431951522827,7.010511875152588,175.1672821044922,-184.8327178955078
3655340000.0,-30.0,2.235851526260376,6.9888596534729,174.49696350097656,-185.50303649902344
3655380000.0,-30.0,2.2342259883880615,6.982541561126709,173.87322998046875,-186.12677001953125
3655420000.0,-30.0,2.2339675426483154,6.981536865234375,173.16184997558594,-186.83815002441406
3655460000.0,-30.0,2.225536584854126,6.948695182800293,172.53134155273438,-187.46865844726562
3655500000.0,-30.0,2.222058057785034,6.935108184814453,172.0244903564453,-187.9755096435547
3655540000.0,-30.0,2.221454381942749,6.932748317718506,171.31080627441406,-188.68919372558594
3655580000.0,-30.0,2.2123124599456787,6.8969292640686035,170.85128784179688,-189.14871215820312
3655620000.0,-30.0,2.213465929031372,6.9014573097229,169.84645080566406,-190.15354919433594
3655660000.0,-30.0,2.2136881351470947,6.9023284912109375,169.3394317626953,-190.6605682373047
3655700000.0,-30.0,2.211606025695801,6.894155502319336,168.57980346679688,-191.42019653320312
3655740000.0,-30.0,2.212100028991699,6.896095275878906,167.8583984375,-192.1416015625
3655780000.0,-30.0,2.2019336223602295,6.85608434677124,167.3447265625,-192.6552734375
3655820000.0,-30.0,2.203260898590088,6.861318588256836,166.63668823242188,-193.36331176757812
3655860000.0,-30.0,2.1963109970092773,6.833877086639404,166.0170135498047,-193.9829864501953
3655900000.0,-30.0,2.195143461227417,6.829257965087891,165.34890747070312,-194.65109252929688
3655940000.0,-30.0,2.1902670860290527,6.809940814971924,164.84652709960938,-195.15347290039062
3655980000.0,-30.0,2.1834235191345215,6.782759666442871,164.1566619873047,-195.8433380126953
3656020000.0,-30.0,2.176351547241211,6.754581451416016,163.4617462158203,-196.5382537841797
